academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,true,"A,B",60,270,N,,true
Accountancy,GE1219,Smart Auditing for a Better Life,3,true,B,10,80,N,,true
Accountancy,GE1222,Accounting in Everyday Life,3,true,B,109,240,N,,true
Asian & International Studies,GE2205,Lifestyle Diversity and Choices,3,true,B,3,60,N,,true
Physics & Materials Science,GE1305,Everyday Physics: Its Impact on You and Society,3,true,"A,B",2,99,N,,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",1,198,N,,true
Physics & Materials Science,GE2306,Energy and Technology,3,true,"A,B",13,200,N,,true
Biology & Chemistry,GE1302,The Science of Art,3,true,"A,B",26,130,N,,true
Biology & Chemistry,GE1310,The Biochemistry of Attraction,3,true,"A,B",10,58,N,,true
Biology & Chemistry,GE2302,Forensics and Modern Society,3,true,B,0,60,N,,true
Building Science & Technology,GE1304,Visual Expression and Communication,3,true,"A,B",13,105,N,,true
Building Science & Technology,GE1307,Appreciation of Built Heritage,3,true,"A,B",2,60,N,,true
Building Science & Technology,GE2110,Experiencing Our Built Environment: Appreciation of Contemporary Architecture,3,true,"A,B",4,60,N,,true
Building Science & Technology,GE2227,Preservation and Revitalization of Buildings with Heritage Value inside City Environments,3,true,"A,B",14,240,N,,true
Building Science & Technology,GE2311,Technology and Society,3,true,"A,B",3,60,N,,true
Architecture and Civil Engg,GE1332,Beauty of Ancient Chinese Architecture,3,true,B,7,150,N,,true
Architecture and Civil Engg,GE1333,Low Carbon Footprint-Energy Saving Practices in Everyday Life,3,true,B,9,170,N,,true
Architecture and Civil Engg,GE2303,Save the Earth: Sustainable Development,3,true,"A,B",19,120,N,,true
Architecture and Civil Engg,GE2310,Introduction to Kanyu for the Built Environment,3,true,"A,B",0,120,N,,true
Chinese Civilisation Centre,GE1101,Chinese Cultural Heritage in Modern Perspective,3,true,"A,B",5,55,N,,true
Chinese Civilisation Centre,GE1104,Chinese Cultural Canons and Their Modern Application,3,true,"A,B",2,77,N,,true
Chinese Civilisation Centre,GE1105,Chinese Music Appreciation,3,true,"A,B",1,80,N,,true
Chinese Civilisation Centre,GE1106,Chinese Art Appreciation,3,true,"A,B",1,52,N,,true
Chinese Civilisation Centre,GE1107,The City in Chinese History and Culture,3,true,"A,B",0,55,N,,true
Chinese Civilisation Centre,GE1108,The Silk Road: A Pathway of Interactive Culture from the Ancient to the Modern World,3,true,"A,B",0,30,N,,true
Chinese Civilisation Centre,GE1111,"Diseases, Culture and History: Hong Kong, China and the World",3,true,"A,B",0,50,N,,true
Chinese Civilisation Centre,GE1112,Chán Culture and Contemporary Society,3,true,"A,B",2,75,N,,true
Chinese Civilisation Centre,GE1114,Women's Lives in Chinese History,3,true,"A,B",0,51,N,,true
Chinese Civilisation Centre,GE1115,Christianity and Chinese Culture,3,true,"A,B",3,77,N,,true
Chinese Civilisation Centre,GE1124,Modern Applications of Chinese Classical Poetry,3,true,"A,B",6,50,N,,true
Chinese Civilisation Centre,GE1125,Architecture and Space in Chinese Culture,3,true,"A,B",0,32,N,,true
Chinese Civilisation Centre,GE1501,Chinese Civilisation - History and Philosophy,3,true,"A,B",47,1456,N,,true
Chinese Civilisation Centre,GE2119,Passion for Books: Reading and Publishing in Greater China,3,true,"A,B",0,83,N,,true
Chinese Civilisation Centre,GE2121,"Nature in Culture: Representations in Film, Literature, Art, and Music",3,true,B,0,27,N,,true
Media and Communication,GE1223,Public Health Communication,3,true,"A,B",5,120,N,,true
Media and Communication,GE1224,Graffiti as Graphic and Global Communication,3,true,B,0,120,N,,true
Media and Communication,GE2225,Media and Consumption: Food and Fashion in Everyday Life,3,true,B,0,120,N,,true
Media and Communication,GE2234,"Social Networks for Media, Business and Technological Applications",3,true,"A,B",19,120,N,,true
Media and Communication,GE3201,China in the Eyes of World Media,3,true,B,18,113,N,,true
Computer Science,GE2313,Global IT Case Studies,3,true,"A,B",6,130,N,,true
Computer Science,GE2315,Security and Privacy in the Information Age,3,true,"A,B",3,210,N,,true
"Chinese, Transl & Linguistics",GE2107,Ideology and Creativity: Unwrapping “Japanese Culture”,3,true,"A,B",1,80,N,,true
"Chinese, Transl & Linguistics",GE2117,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",3,true,B,1,118,N,,true
"Chinese, Transl & Linguistics",GE2120,Asian Values and Managerial Practices,3,true,B,2,80,N,,true
"Chinese, Transl & Linguistics",GE2122,"The Cantonese Language in Use: Language, Grammar and Culture",3,true,"A,B",1,80,N,,true
"Chinese, Transl & Linguistics",GE3102,Cultural Flows in East Asia,3,true,B,1,40,N,,true
"Chinese, Transl & Linguistics",GE4101,Madness and Literature,3,true,B,23,83,N,,true
Sch of Energy and Environment,GE1301,Climate Change and Extreme Weather,3,true,"A,B",0,68,N,,true
Sch of Energy and Environment,GE1308,Energy: Today and Tomorrow,3,true,"A,B",0,80,N,,true
Electronic Engineering,GE1322,"Brain Machine Interface: Technology, Culture, and Society",3,true,B,6,200,N,,true
Electronic Engineering,GE2316,"Computing Snapshot, Today and Tomorrow",3,true,B,20,200,N,,true
Electronic Engineering,GE2318,From Ancient Wisdom to Modern Science,3,true,B,0,99,N,,true
Economics & Finance,GE1205,Green Economics,3,true,B,1,200,N,,true
Economics & Finance,GE2229,Uncovering the Global Economy through News,3,true,B,4,80,N,,true
Economics & Finance,GE2238,Global Financial Markets and their Societal Impact,3,true,B,71,140,N,,true
English,GE1401,University English,3,true,B,35,1950,N,,true
English,GE2105,Popular Culture,3,true,"A,B",-3,40,N,,true
English,GE2115,America: Peoples and Cultures of the United States,3,true,"A,B",3,65,N,,true
English,GE2401,English for Science,3,true,B,15,250,N,,true
English,GE2402,English for Business Communication,3,true,B,41,701,N,,true
English,GE2404,Asian Literature in English,3,true,B,1,101,N,,false
English,GE2405,Creative Writing,3,true,B,3,75,N,,false
English,GE2408,Travel Writing: Discovery and Experience,3,true,B,2,125,N,,false
English,GE2409,Words and Images: Reading and Writing in the 21st Century,3,true,B,5,77,N,,false
English,GE2410,English for Engineering,3,true,B,17,625,N,,true
English,GE3401,Exploring English Cinema,3,true,B,1,276,N,,false
