academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,true,"A,B",29,270,N,,true
Accountancy,GE1222,Accounting in Everyday Life,3,true,B,4,180,N,,true
Asian & International Studies,GE2112,"Vampires, Monsters and Teen Demons: A Study of the Gothic in Literature and Culture",3,true,"A,B",4,180,N,,true
Asian & International Studies,GE2117,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",3,true,B,2,180,N,,true
Asian & International Studies,GE2120,Asian Values and Managerial Practices,3,true,B,113,180,N,,true
Asian & International Studies,GE2205,Lifestyle Diversity and Choices,3,true,B,158,180,N,,true
Physics & Materials Science,GE1305,Everyday Physics: Its Impact on You and Society,3,true,"A,B",3,105,N,,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",2,205,N,,true
Biology & Chemistry,GE1310,The Biochemistry of Attraction,3,true,"A,B",7,65,N,,true
Biology & Chemistry,GE1346,The Chemists Kitchen (The Science of Food and Cooking),3,true,B,1,80,N,,true
Biology & Chemistry,GE2302,Forensics and Modern Society,3,true,B,1,60,N,,true
Biology & Chemistry,GE2322,The Nobel Spirit,3,true,B,84,120,N,,true
Biomedical Sciences,GE1328,"Mind, Body and Energy",3,true,B,7,55,N,,true
Building Science & Technology,GE2314,Construction As One of the Founding Stones of Modern Hong Kong,3,true,"A,B",2,230,N,,true
Building Science & Technology,GE2329,Green Buildings: Discovery and Innovations,3,true,"A,B",2,110,N,,true
Architecture and Civil Engg,GE1332,Beauty of Ancient Chinese Architecture,3,true,B,10,94,N,,true
Architecture and Civil Engg,GE1343,Energy Crisis and Renewable Energy,3,true,B,3,95,N,,true
Architecture and Civil Engg,GE2127,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",3,true,B,1,90,N,,true
Architecture and Civil Engg,GE2250,Understand Global Projects for Business and Engineering Professionals,3,true,B,79,98,N,,true
Architecture and Civil Engg,GE2251,"Survey in Daily Life: Engineering, Business, and Political Applications",3,true,B,49,90,N,,true
Architecture and Civil Engg,GE2253,Real Estate Development: Principles and Process,3,true,B,64,91,N,,true
Architecture and Civil Engg,GE2303,Save the Earth: Sustainable Development,3,true,"A,B",18,91,N,,true
Chinese and History,GE1101,Chinese Cultural Heritage in Modern Perspective,3,true,"A,B",3,52,N,,true
Chinese and History,GE1104,Chinese Cultural Canons and Their Modern Application,3,true,"A,B",3,127,N,,true
Chinese and History,GE1107,The City in Chinese History and Culture,3,true,"A,B",6,77,N,,true
