academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,true,"A,B",42,90,N,,true
Accountancy,GE1219,Smart Auditing for a Better Life,3,true,B,125,180,N,,true
Accountancy,GE1222,Accounting in Everyday Life,3,true,B,60,190,N,,true
Asian & International Studies,GE2205,Lifestyle Diversity and Choices,3,true,B,25,70,N,,true
Asian & International Studies,GE2206,Sustainable Cities for the 21st Century,3,true,B,69,100,N,,true
Asian & International Studies,GE2239,"Food: Culture, Science and Society",3,true,B,1,94,N,,true
Physics & Materials Science,GE1309,Science in Chinese Kung Fu,3,true,B,0,120,N,,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",0,180,N,,true
Physics & Materials Science,GE2309,The World of NANO: The Next Big Thing Is Really Small,3,true,"A,B",2,80,N,,true
Physics & Materials Science,GE2312,Future SCIFI Technologies,3,true,"A,B",4,70,N,,true
Biology & Chemistry,GE1311,Death: A Discovery Approach,3,true,"A,B",2,99,N,,true
Biology & Chemistry,GE1341,Life and Health,3,true,B,10,80,N,,true
Biology & Chemistry,GE2307,"Science, Fiction and the Supernatural",3,true,"A,B",-6,105,N,,true
Building Science & Technology,GE1303,Urban Life and Development,3,true,"A,B",3,151,N,,true
Building Science & Technology,GE1307,Appreciation of Built Heritage,3,true,"A,B",76,165,N,,true
Building Science & Technology,GE1312,Infrastructure and People,3,true,"A,B",27,110,N,,true
Building Science & Technology,GE2227,Preservation and Revitalization of Buildings with Heritage Value inside City Environments,3,true,"A,B",1,195,N,,true
Building Science & Technology,GE2311,Technology and Society,3,true,"A,B",26,110,N,,true
Building Science & Technology,GE2329,Green Buildings: Discovery and Innovations,3,true,"A,B",3,115,N,,true
Architecture and Civil Engg,GE1306,Urban Development and Construction - From the Past to the Future,3,true,"A,B",8,150,N,,true
Architecture and Civil Engg,GE1313,Earthquakes,3,true,B,6,150,N,,true
Architecture and Civil Engg,GE1318,Are We Safe?: Risks in Our Everyday Life,3,true,B,34,150,N,,true
Architecture and Civil Engg,GE1323,Discovering the Living Environment: How Green Are You?,3,true,B,2,150,N,,true
Architecture and Civil Engg,GE2327,Green and Intelligent Buildings,3,true,B,5,50,N,,true
Chinese Civilisation Centre,GE1101,Chinese Cultural Heritage in Modern Perspective,3,true,"A,B",2,30,N,,true
Chinese Civilisation Centre,GE1104,Chinese Cultural Canons and Their Modern Application,3,true,"A,B",2,77,N,,true
Chinese Civilisation Centre,GE1105,Chinese Music Appreciation,3,true,"A,B",0,77,N,,true
Chinese Civilisation Centre,GE1106,Chinese Art Appreciation,3,true,"A,B",1,25,N,,true
Chinese Civilisation Centre,GE1107,The City in Chinese History and Culture,3,true,"A,B",1,57,N,,true
Chinese Civilisation Centre,GE1108,The Silk Road: A Pathway of Interactive Culture from the Ancient to the Modern World,3,true,"A,B",2,30,N,,true
