academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,true,"A,B",17,80,N,,true
Asian & International Studies,GE1209,Identity and Citizenship in a Globalized World,3,true,B,40,60,N,,true
Asian & International Studies,GE2205,Lifestyle Diversity and Choices,3,true,B,14,70,N,,true
Asian & International Studies,GE2206,Sustainable Cities for the 21st Century,3,true,B,14,60,N,,true
Asian & International Studies,GE2207,The Asian Century: Exploring the Rise of Asia As a Global Powerhouse,3,true,B,28,60,N,,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",1,189,N,,true
Physics & Materials Science,GE2312,Future SCIFI Technologies,3,true,"A,B",3,59,N,,true
Biology & Chemistry,GE2302,Forensics and Modern Society,3,true,B,1,46,N,,true
Building Science & Technology,GE1304,Visual Expression and Communication,3,true,"A,B",2,30,N,,true
Building Science & Technology,GE2311,Technology and Society,3,true,"A,B",4,30,N,,true
Building Science & Technology,GE2314,Construction As One of the Founding Stones of Modern Hong Kong,3,true,"A,B",10,30,N,,true
Chinese Civilisation Centre,GE1105,Chinese Music Appreciation,3,true,"A,B",0,50,N,,true
Chinese Civilisation Centre,GE1106,Chinese Art Appreciation,3,true,"A,B",4,75,N,,true
Chinese Civilisation Centre,GE1107,The City in Chinese History and Culture,3,true,"A,B",12,75,N,,true
Chinese Civilisation Centre,GE1108,The Silk Road: A Pathway of Interactive Culture from the Ancient to the Modern World,3,true,"A,B",1,50,N,,true
Chinese Civilisation Centre,GE1114,Women's Lives in Chinese History,3,true,"A,B",0,50,N,,true
Chinese Civilisation Centre,GE1501,Chinese Civilisation - History and Philosophy,3,true,"A,B",62,1320,N,,true
Col of Liberal Arts & Soc Sci,GE2111,Image of the City,3,true,"A,B",2,25,N,,true
Media and Communication,GE3201,China in the Eyes of World Media,3,true,"A,B",1,60,N,,true
Media and Communication,GE3202,Citizen Journalism and Civil Society,3,true,"A,B",38,60,N,,true
"Chinese, Transl & Linguistics",GE2107,Ideology and Creativity: Unwrapping “Japanese Culture”,3,true,"A,B",0,30,N,,true
"Chinese, Transl & Linguistics",GE2113,Reading Colonialism and the Modern Experience,3,true,"A,B",7,25,N,,true
"Chinese, Transl & Linguistics",GE4101,Madness and Literature,3,true,B,29,50,N,,true
Sch of Energy and Environment,GE1308,Energy: Today and Tomorrow,3,true,"A,B",2,60,N,,true
Electronic Engineering,GE2316,"Computing Snapshot, Today and Tomorrow",3,true,B,64,80,N,,true
Economics & Finance,GE1205,Green Economics,3,true,B,0,83,N,,true
English Language Centre,GE1401,University English,3,false,B,23,750,N,,true
English,GE2105,Popular Culture,3,true,"A,B",0,40,N,,true
English,GE2115,Reading and Writing America: Peoples and Cultures of the United States,3,true,"A,B",18,40,N,,true
English,GE2216,New Literacies in the Information Age,3,true,"A,B",19,40,N,,true
English,GE2405,Creative Writing,3,true,B,-1,25,N,,true
English,GE3401,Exploring English Cinema,3,true,B,3,49,N,,true
School of Law,GE1103,Citizens and Justice,3,true,B,10,41,N,,true
Information Systems,GE1203,Managing Fitness in the 21st Century,3,true,"A,B",-1,30,N,,true
Information Systems,GE1206,Accelerating Professional Growth on the Web,3,true,"A,B",1,146,N,,true
Management,GE2212,Contemporary Business Communication,3,true,"A,B",7,48,N,,true
Management Sciences,GE2202,Globalization and Business,3,true,B,47,80,N,,true
Public & Social Administration,GE2101,Rational Thinking and Creative Ideas,3,true,B,0,40,N,,true
Public & Social Administration,GE2210,China: A Socio-Political Transformation,3,true,"A,B",18,50,N,,true
Public & Social Administration,GE2217,Power and Politics,3,true,B,6,45,N,,true
Systems Engg and Engg Mgt,GE1208,Communication and Teamwork,3,true,"A,B",1,50,N,,true
Applied Social Sciences,GE2109,"Love, Sex, and Relationships: Psychological Perspectives",3,true,B,9,199,N,,true
Applied Social Sciences,GE2203,Psychology for Young Professionals,3,true,B,4,538,N,,true
Applied Social Sciences,GE2211,"Sexuality, Culture and Diversity",3,true,B,0,80,N,,true
Applied Social Sciences,GE2218,Career Excellence in the 21st Century,3,true,B,30,80,N,,true
Applied Social Sciences,GE2221,Violence and Crime,3,true,B,3,99,N,,true
