academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
English,GE1401,University English,3,true,B,52,1800,N,English,true
English,GE2401,English for Science,3,true,B,5,125,N,English,true
English,GE2402,English for Business Communication,3,true,B,104,650,N,English,true
English,GE2404,Asian Literature in English,3,true,B,1,100,N,English,true
English,GE2407,"Reading Lives, Writing Selves: Autobiography and Culture",3,true,B,9,75,N,English,true
English,GE2408,Travel Writing: Discovery and Experience,3,true,B,3,225,N,English,true
English,GE2409,Words and Images: Reading and Writing in the 21st Century,3,true,B,6,75,N,English,true
English,GE2410,English for Engineering,3,true,B,26,400,N,English,true
English,GE3401,Exploring English Cinema,3,true,B,8,175,N,English,true
Chinese and History,GE1501,Chinese Civilisation - History and Philosophy,3,true,"A,B",59,1104,N,Chinese (Eng Section Avail),true
School of Creative Media,GE1102,Cinema: East and West,3,true,B,0,76,N,English,true
Chinese and History,GE1105,Chinese Music Appreciation,3,true,"A,B",2,82,N,English,true
Chinese and History,GE1106,Chinese Art Appreciation,3,true,"A,B",0,82,N,English,true
School of Creative Media,GE1110,Exploring Contemporary Art,3,true,"A,B",18,60,N,English,true
Chinese and History,GE1112,Chán Culture and Contemporary Society,3,true,"A,B",6,82,N,Cantonese,true
School of Creative Media,GE1113,Visual Storytelling and Cultural Thinking,3,true,"A,B",5,100,N,English,true
Public Policy,GE1117,Music and Human Values: Philosophical Investigations,3,true,B,4,45,N,English,true
Chinese and History,GE1125,Architecture and Space in Chinese Culture,3,true,"A,B",1,82,N,English,true
School of Creative Media,GE1128,Music for Film,3,true,"A,B",3,120,N,English,true
Linguistics and Translation,GE1133,"Culture and Language in Manga, Anime and Beyond",3,true,B,35,60,N,English,true
Applied Social Sciences,GE1134,Movies and Psychology,3,true,B,0,20,N,English,true
Public Policy,GE2101,Rational Thinking and Creative Ideas,3,true,B,4,135,N,English,true
English,GE2105,Popular Culture,3,true,"A,B",3,60,N,English,true
Public Policy,GE2106,Philosophy and Life: A Dialogue,3,true,B,1,45,N,English,true
English,GE2108,Literature in Our Lives,3,true,"A,B",5,60,N,English,true
Applied Social Sciences,GE2109,"Love, Sex, and Relationships: Psychological Perspectives",3,true,B,1,120,N,English,true
Linguistics and Translation,GE2111,"Image of the City – Language, Culture and Society",3,true,B,0,114,N,English,true
Asian & International Studies,GE2120,Asian Values and Managerial Practices,3,true,B,121,180,N,English,true
Linguistics and Translation,GE2125,"The Bible: Its History, Literature, and Influence",3,true,B,4,120,N,English,true
Architecture and Civil Engg,GE2127,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",3,true,B,20,113,N,English,true
Applied Social Sciences,GE2129,Psychology for Young Professionals,3,true,B,8,400,N,English,true
Chinese and History,GE2132,Discovering the Dynamics of Contemporary Cities and Architecture in China,3,true,"A,B",4,72,N,English,true
Asian & International Studies,GE4101,Madness and Literature,3,true,B,73,140,N,English,true
School of Creative Media,GE4102,"Video Game: History, Industry, Society, and Creativity",3,true,B,1,80,N,English,true
Information Systems,GE1201,Information Management and its Social Impact,3,true,"A,B",9,80,N,English,true
Economics & Finance,GE1202,Managing Your Personal Finance,3,true,B,18,320,N,English,true
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,true,"A,B",6,195,N,English,true
Economics & Finance,GE1205,Green Economics,3,true,B,5,320,N,English,true
Information Systems,GE1206,Accelerating Professional Growth on the Web,3,true,"A,B",5,229,N,English,true
Marketing,GE1207,Organizational and Personal Image Management,3,true,"A,B",0,50,N,English,true
Systems Engg and Engg Mgt,GE1208,Communication and Teamwork,3,true,"A,B",0,50,N,English,true
Information Systems,GE1212,Building Personal and Firm Images in the Digital Society,3,true,B,37,80,N,English,true
Public Policy,GE1218,Social Entrepreneurship and Innovation,3,true,B,3,80,N,English,true
Media and Communication,GE1223,Public Health Communication,3,true,"A,B",4,120,N,English,true
Marketing,GE1225,Become a Smart and Responsible Consumer,3,true,B,59,160,N,English,true
Applied Social Sciences,GE1226,Youth in a Changing Society,3,true,B,1,10,N,English,true
Public Policy,GE1227,Professions in Hong Kong and Beyond: Critical Insights and Issues,3,true,B,2,40,N,English,true
Management Sciences,GE2202,Globalization and Business,3,true,B,8,85,N,English,true
Management,GE2204,Business Ethics and Society,3,true,"A,B",24,80,N,English,true
Marketing,GE2209,Market Developments in China,3,true,B,12,80,N,English,true
Public Policy,GE2210,China: A Socio-Political Transformation,3,true,"A,B",59,100,N,English,true
